coord,name,price,url,,,,,,,,,,,,,
"(41.98599596378534, -87.66769743875548)",Andersonville Living,117,https://www.airbnb.com/rooms/16229723,,,,,,,,,,,,,
"(41.94255815750977, -87.64475834478417)",Cozy 1 bed in Boystown,82,https://www.airbnb.com/rooms/16793287,,,,,,,,,,,,,
"(41.94375728487296, -87.65163604506891)",Charming space in Boystown/Lakeview,106,https://www.airbnb.com/rooms/1056430,,,,,,,,,,,,,
"(41.89453915946958, -87.66523280705465)",Private Cozy Master Bedroom in West Town Chicago,56,https://www.airbnb.com/rooms/16722560,,,,,,,,,,,,,
"(41.84699003193765, -87.68363002487361)",Plzeň Bohème + Meets + Cultura,79,https://www.airbnb.com/rooms/15064745,,,,,,,,,,,,,
"(41.940836121284384, -87.65781474473575)",Lake view private bedroom,156,https://www.airbnb.com/rooms/5874798,,,,,,,,,,,,,
"(41.880687092386566, -87.64117902712057)",Perfect Sightseeing 1 BedRoom With Nice Facilities,212,https://www.airbnb.com/rooms/15289972,,,,,,,,,,,,,
"(41.880696669108474, -87.64218834066241)",Downtown studio high floor B,125,https://www.airbnb.com/rooms/8406911,,,,,,,,,,,,,
"(41.99492432219551, -87.65686645965154)","Great Views, Great Location in Edgewater | 1bd",65,https://www.airbnb.com/rooms/14284784,,,,,,,,,,,,,
"(41.89455993257129, -87.67547618804244)","Cool location, knowledgeable hosts!",71,https://www.airbnb.com/rooms/7659968,,,,,,,,,,,,,
"(41.878988956900734, -87.66397476010209)","Walk to Attractions, Private Garden",224,https://www.airbnb.com/rooms/8827052,,,,,,,,,,,,,
"(41.88455218544491, -87.62624520548086)",Downtown / Loop 2BR Condo - Magnificent Mile -3807,374,https://www.airbnb.com/rooms/16244614,,,,,,,,,,,,,
"(41.904270866208, -87.66726210749073)",The Cutest Wicker Park 1 BDRM Winter Special!!,214,https://www.airbnb.com/rooms/4075630,,,,,,,,,,,,,
"(-87.6637191, 41.9491131)",Two-Bedroom Apartment on North Southport Avenue 2,307,www.booking.com/hotel/us/two-bedroom-apartment-on-north-southport-avenue-2.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=197418001_97146332_7_0_0,all_sr_blocks=197418001_97146332_7_0_0,room1=A%2CA,hpos=2,dest_type=city,dest_id=20033173,srfid=0b1cd8876c7c85af6e431b7875f982530c585ae2X2,from=searchresults,highlight_room=
"(-87.6378308236599, 41.8879977072017)",Holiday Inn Chicago Mart Plaza River North,227,www.booking.com/hotel/us/holiday-inn-chicago-mart-plaza-riverview.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=18177505_94324418_2_2_0,all_sr_blocks=18177505_94324418_2_2_0,room1=A%2CA,hpos=5,dest_type=city,dest_id=20033173,srfid=0b1cd8876c7c85af6e431b7875f982530c585ae2X5,from=searchresults,highlight_room=
